market_segment,previous_cancellations,booking_changes,deposit_type,days_in_waiting_list,customer_type,reserved_room_type,required_car_parking_spaces,total_of_special_requests,is_canceled
Online TA,0,0,No Deposit,0,Group,A,1,1,0
Offline TA/TO,0,3,No Deposit,0,Transient,E,0,0,0
Direct,0,1,No Deposit,0,Transient,F,0,0,0
Online TA,0,1,No Deposit,0,Transient,H,1,1,0
Direct,0,3,No Deposit,0,Transient,C,0,0,0
Online TA,0,0,No Deposit,0,Transient-Party,A,1,1,0
Direct,0,0,No Deposit,0,Transient-Party,D,0,1,0
Online TA,0,1,No Deposit,0,Contract,F,0,0,0
Direct,0,0,No Deposit,0,Transient,D,0,0,0
Offline TA/TO,0,0,No Deposit,0,Transient,D,0,0,0
Complementary,0,0,No Deposit,0,Transient,A,0,2,0
Online TA,0,0,No Deposit,0,Transient,A,0,2,0
Offline TA/TO,0,0,No Deposit,0,Transient,E,0,1,0
Direct,0,0,No Deposit,0,Transient,A,1,1,0
Online TA,0,0,No Deposit,0,Transient-Party,A,0,1,0
Online TA,0,0,No Deposit,0,Transient,A,0,1,0
Groups,0,3,No Deposit,0,Transient-Party,A,0,0,0
Corporate,0,2,No Deposit,0,Transient-Party,E,0,0,0
Offline TA/TO,0,1,No Deposit,0,Transient-Party,A,0,2,0
Corporate,1,0,No Deposit,0,Transient-Party,A,0,1,0
Online TA,0,0,No Deposit,0,Transient,D,0,2,1
Direct,0,4,No Deposit,0,Transient,A,0,1,1
Online TA,0,0,No Deposit,0,Transient,E,1,1,0
Groups,0,0,No Deposit,0,Transient-Party,E,0,0,0
Direct,0,0,No Deposit,0,Transient,A,0,0,0
Online TA,0,0,No Deposit,0,Transient,D,0,2,0
Online TA,0,0,No Deposit,0,Transient,B,0,2,1
Online TA,0,0,No Deposit,0,Transient,A,0,1,0
Direct,0,0,No Deposit,0,Transient,D,1,3,0
Online TA,0,0,No Deposit,0,Transient,D,1,2,0
Groups,0,1,No Deposit,0,Transient-Party,A,0,1,0
Corporate,2,0,No Deposit,0,Transient,A,0,2,0
Online TA,0,0,No Deposit,0,Transient,C,1,1,0
Online TA,0,2,No Deposit,0,Transient-Party,G,1,2,0
Online TA,0,0,No Deposit,0,Transient,H,0,1,1
Groups,1,0,No Deposit,0,Transient-Party,A,0,0,1
Online TA,0,1,No Deposit,0,Transient,F,0,1,0
Offline TA/TO,0,0,No Deposit,0,Transient,E,0,1,0
Online TA,0,0,No Deposit,0,Transient,D,0,3,1
Online TA,0,0,No Deposit,0,Transient,G,0,1,1
Complementary,0,0,No Deposit,0,Transient,A,0,1,0
Online TA,0,0,No Deposit,0,Transient,B,0,3,1
Online TA,0,0,No Deposit,0,Transient,A,1,1,0
Online TA,0,1,No Deposit,0,Transient,A,0,4,0
Direct,0,0,No Deposit,0,Transient,E,1,0,0
Corporate,0,0,No Deposit,0,Transient-Party,A,0,1,0
Groups,0,0,No Deposit,0,Transient,E,0,0,0
Offline TA/TO,0,1,No Deposit,0,Transient,A,1,1,0
Online TA,0,1,No Deposit,0,Transient,A,0,1,1
Online TA,0,2,No Deposit,0,Transient,E,0,0,0
Online TA,0,4,No Deposit,0,Transient,D,0,0,1
Online TA,0,0,No Deposit,0,Transient,E,1,1,0
Online TA,0,1,No Deposit,0,Transient,A,1,2,0
Online TA,0,2,No Deposit,0,Transient-Party,G,0,1,0
Corporate,0,1,No Deposit,0,Transient,A,0,0,0
Direct,0,2,No Deposit,0,Transient-Party,F,1,1,0
Direct,0,0,No Deposit,0,Transient,D,0,3,0
Online TA,0,2,No Deposit,0,Transient,D,1,2,0
Direct,0,0,No Deposit,0,Transient,F,0,2,0
Online TA,0,0,No Deposit,0,Transient-Party,B,0,1,0
Online TA,0,0,No Deposit,0,Transient-Party,A,0,1,0
Offline TA/TO,0,0,No Deposit,0,Contract,D,0,1,0
Groups,0,1,No Deposit,0,Transient-Party,A,0,0,0
Online TA,0,0,No Deposit,0,Transient,A,0,2,0
Corporate,0,0,No Deposit,0,Transient,D,0,2,0
Direct,0,0,No Deposit,0,Transient,A,0,1,0
Online TA,0,0,No Deposit,0,Transient,A,0,1,1
Offline TA/TO,0,1,No Deposit,0,Transient-Party,E,0,1,0
Online TA,0,2,No Deposit,0,Transient,F,0,2,0
Online TA,0,0,No Deposit,0,Transient,D,1,1,0
Offline TA/TO,0,0,No Deposit,0,Transient-Party,H,0,1,0
Online TA,0,0,No Deposit,0,Transient-Party,B,0,3,1
Offline TA/TO,0,0,No Deposit,0,Transient,F,0,1,1
Online TA,0,0,No Deposit,0,Transient,H,0,0,0
Direct,0,0,No Deposit,0,Transient,G,1,1,0
Online TA,0,1,No Deposit,0,Transient,A,0,0,0
Offline TA/TO,0,1,No Deposit,0,Transient,A,0,0,0
Direct,0,1,No Deposit,0,Transient,A,0,0,0
Direct,0,2,No Deposit,0,Transient,E,0,1,0
Online TA,0,1,No Deposit,0,Transient,A,0,1,0
Direct,0,1,No Deposit,0,Transient,B,0,0,0
Online TA,0,0,No Deposit,0,Transient-Party,A,0,3,0
Aviation,0,0,No Deposit,0,Transient,D,0,0,0
Online TA,0,0,No Deposit,0,Transient,A,0,2,0
Online TA,0,2,No Deposit,0,Transient,D,0,0,0
Online TA,0,0,No Deposit,0,Transient,H,0,1,0
Online TA,0,2,No Deposit,0,Contract,A,0,2,0
Online TA,0,2,No Deposit,0,Transient,A,0,0,0
Online TA,0,0,No Deposit,0,Transient-Party,A,1,0,0
Corporate,0,1,No Deposit,0,Transient,A,0,0,0
Aviation,0,0,No Deposit,0,Group,A,0,0,0
Direct,0,0,No Deposit,0,Transient,A,0,0,0
Online TA,0,0,No Deposit,0,Transient,A,0,5,0
Online TA,0,0,No Deposit,0,Transient,A,1,1,0
Offline TA/TO,0,1,No Deposit,0,Transient,E,0,0,0
Direct,0,3,No Deposit,0,Transient,A,0,0,0
Direct,0,0,No Deposit,0,Transient,D,0,0,0
Online TA,0,0,No Deposit,0,Transient,C,0,2,0
Online TA,0,0,No Deposit,0,Group,D,0,3,0
Online TA,0,2,No Deposit,0,Transient,A,1,0,0
Online TA,0,1,No Deposit,0,Transient,E,0,3,0
Direct,0,0,No Deposit,0,Transient,A,0,2,0
Direct,0,0,No Deposit,0,Transient,F,0,3,0
Corporate,0,2,No Deposit,0,Transient-Party,A,0,0,0
Corporate,0,0,No Deposit,0,Transient,G,0,3,0
Corporate,0,0,No Deposit,0,Transient,E,1,1,0
Online TA,0,0,No Deposit,0,Transient,D,0,0,0
Online TA,0,0,No Deposit,0,Transient,B,0,2,1
Offline TA/TO,0,1,No Deposit,0,Transient,A,0,2,0
Online TA,1,0,No Deposit,0,Transient-Party,A,0,0,1
Corporate,0,3,No Deposit,0,Transient,A,0,2,0
Online TA,0,0,No Deposit,0,Contract,D,0,1,0
Direct,0,0,No Deposit,0,Transient,D,1,0,0
Online TA,0,0,No Deposit,0,Transient-Party,D,0,2,0
Direct,0,0,No Deposit,0,Transient,F,1,1,0
Online TA,0,0,No Deposit,0,Transient,E,0,0,1
Direct,0,3,No Deposit,0,Transient,C,1,2,0
Corporate,0,0,No Deposit,0,Transient-Party,A,0,0,0
Direct,0,1,No Deposit,0,Transient,B,0,1,0
Online TA,0,2,No Deposit,0,Transient,B,0,0,0
Online TA,0,1,No Deposit,0,Contract,A,1,1,0
Online TA,0,0,No Deposit,0,Transient,E,1,0,0
Online TA,0,3,No Deposit,0,Transient,D,1,5,0
Online TA,0,0,No Deposit,0,Transient,A,1,2,0
Online TA,0,2,No Deposit,0,Transient,B,0,1,1
Groups,0,0,No Deposit,0,Transient,A,0,0,0
Online TA,0,0,No Deposit,0,Transient,D,1,0,0
Offline TA/TO,0,0,No Deposit,0,Group,A,0,1,0
Direct,0,0,No Deposit,0,Transient,H,1,1,0
Complementary,2,0,No Deposit,0,Transient,D,0,0,0
Offline TA/TO,0,0,No Deposit,0,Transient-Party,E,0,2,0
Direct,0,4,No Deposit,0,Transient,A,1,3,0
Offline TA/TO,0,0,No Deposit,0,Transient,D,0,0,0
Direct,0,1,No Deposit,0,Transient,A,0,0,0
Direct,0,2,No Deposit,0,Transient,A,1,0,0
Online TA,0,0,No Deposit,0,Transient,A,1,0,0
Direct,0,3,No Deposit,0,Transient,E,0,1,1
Corporate,0,0,No Deposit,0,Contract,A,0,2,1
Online TA,0,0,No Deposit,0,Transient,G,0,0,0
Online TA,0,1,No Deposit,0,Transient,F,0,2,0
Aviation,2,0,No Deposit,0,Transient,D,0,0,1
Online TA,0,1,No Deposit,0,Transient,D,0,1,0
Online TA,0,1,No Deposit,0,Transient,B,0,0,1
Online TA,0,1,No Deposit,0,Transient,A,0,2,0
Groups,0,3,No Deposit,59,Transient-Party,A,0,3,0
Offline TA/TO,0,0,No Deposit,1,Transient,A,0,0,0
Direct,0,1,No Deposit,0,Transient,D,1,3,0
Offline TA/TO,0,0,No Deposit,0,Transient,A,0,2,0
Direct,0,0,No Deposit,0,Transient,G,0,0,0
Online TA,0,0,No Deposit,0,Transient,A,0,1,1
Online TA,0,0,No Deposit,0,Transient,E,1,2,0
Corporate,0,1,No Deposit,0,Transient-Party,E,0,0,0
Online TA,0,3,No Deposit,0,Transient,H,1,0,0
Offline TA/TO,0,1,No Deposit,0,Transient,A,1,0,0
Online TA,0,0,No Deposit,0,Transient-Party,A,0,0,0
Offline TA/TO,0,1,No Deposit,0,Transient,A,0,2,0
Online TA,0,0,No Deposit,0,Transient,C,0,1,1
Online TA,0,1,No Deposit,0,Transient,A,1,1,0
Direct,0,3,No Deposit,0,Transient,G,1,0,0
Online TA,0,2,No Deposit,0,Transient,E,0,1,0
Online TA,0,1,No Deposit,0,Transient,G,1,0,0
Online TA,0,0,No Deposit,0,Transient,G,1,0,0
Groups,0,2,No Deposit,0,Transient-Party,A,0,0,0
Online TA,0,0,No Deposit,0,Transient,B,0,1,1
Direct,0,0,No Deposit,0,Transient,A,1,1,0
Online TA,0,0,Refundable,0,Transient,A,0,0,1
Direct,0,2,No Deposit,0,Transient,F,1,1,0
Online TA,0,0,No Deposit,0,Transient,F,0,0,0
Online TA,0,0,No Deposit,0,Transient,A,0,1,1
Groups,0,1,Refundable,0,Transient-Party,A,0,0,0
Direct,2,1,No Deposit,0,Transient,A,0,2,1
Direct,0,0,No Deposit,0,Transient,A,0,0,0
Groups,0,3,No Deposit,0,Transient-Party,C,0,0,0
Direct,0,4,No Deposit,0,Transient,A,0,2,0
Online TA,0,1,No Deposit,0,Transient-Party,B,0,0,0
Online TA,0,0,No Deposit,0,Transient-Party,A,0,1,0
Online TA,0,3,No Deposit,0,Transient-Party,A,0,0,0
Offline TA/TO,0,0,No Deposit,0,Transient,E,0,0,0
Offline TA/TO,0,0,No Deposit,0,Transient,E,0,0,0
Online TA,0,1,No Deposit,0,Transient,D,1,2,0
Corporate,0,1,No Deposit,0,Transient,E,0,0,1
Online TA,0,0,No Deposit,0,Transient,A,0,3,0
Online TA,0,0,No Deposit,0,Transient,D,1,2,0
Online TA,0,2,No Deposit,0,Transient,A,0,1,0
Online TA,0,0,No Deposit,0,Contract,D,0,2,0
Direct,0,0,No Deposit,0,Transient,G,0,0,0
Direct,0,3,No Deposit,0,Transient,G,1,2,0
Direct,0,0,No Deposit,0,Transient,C,0,0,0
Online TA,0,0,No Deposit,0,Transient,C,0,0,0
Direct,1,1,No Deposit,0,Transient,A,0,0,0
Offline TA/TO,0,1,No Deposit,0,Transient-Party,D,0,1,0
Online TA,0,0,No Deposit,0,Transient,A,1,1,0
Offline TA/TO,0,2,No Deposit,0,Transient,E,0,2,0
Online TA,0,0,No Deposit,0,Transient,A,0,0,0
Online TA,0,0,No Deposit,0,Transient,A,0,1,1
Complementary,0,0,No Deposit,0,Transient,G,0,2,0
Offline TA/TO,0,0,No Deposit,0,Transient,E,0,1,0
Direct,0,1,No Deposit,0,Transient,F,1,0,0
Online TA,1,0,No Deposit,0,Transient,G,0,3,1
Online TA,0,2,No Deposit,0,Transient,G,1,1,0
Online TA,0,2,No Deposit,0,Transient,A,0,2,1
Online TA,0,1,No Deposit,0,Transient,G,1,2,0
Online TA,0,2,No Deposit,0,Transient,A,0,3,0
Online TA,0,0,No Deposit,0,Transient,C,0,1,1
Online TA,0,0,No Deposit,0,Transient,E,1,2,0
Online TA,0,2,No Deposit,0,Transient,E,1,3,0
Online TA,0,0,No Deposit,0,Transient-Party,A,0,1,0
Online TA,0,0,No Deposit,0,Transient-Party,B,0,0,0
Groups,0,0,No Deposit,0,Transient-Party,D,1,0,0
Corporate,0,1,No Deposit,15,Transient-Party,D,0,1,0
Complementary,0,1,No Deposit,0,Transient,A,0,1,1
Online TA,0,0,No Deposit,0,Transient,A,0,0,1
Offline TA/TO,0,0,Non Refund,63,Transient,A,0,0,1
Offline TA/TO,0,2,No Deposit,0,Transient-Party,D,0,0,0
Groups,0,0,No Deposit,0,Transient-Party,D,1,0,0
Online TA,0,0,No Deposit,0,Transient-Party,B,0,1,0
Direct,0,0,No Deposit,0,Transient,F,0,2,0
Online TA,0,0,No Deposit,0,Transient,E,0,2,0
Online TA,0,1,No Deposit,0,Transient,G,0,0,0
Direct,0,2,No Deposit,0,Transient,C,0,0,1
Direct,0,1,No Deposit,0,Transient,E,0,3,0
Corporate,0,1,No Deposit,0,Transient-Party,D,0,0,0
Direct,0,3,No Deposit,0,Transient,F,0,2,0
Corporate,0,0,Non Refund,0,Transient,D,0,0,1
Online TA,0,0,No Deposit,0,Transient,A,1,1,0
Aviation,0,1,No Deposit,0,Transient,A,0,0,1
Offline TA/TO,0,0,No Deposit,0,Transient,A,0,0,0
Online TA,0,2,No Deposit,0,Transient,H,0,0,0
Online TA,1,0,No Deposit,0,Transient-Party,A,0,0,1
Direct,0,0,No Deposit,0,Transient-Party,D,0,0,1
Online TA,0,0,No Deposit,0,Transient-Party,B,0,0,1
Online TA,0,1,No Deposit,0,Transient,A,1,1,0
Direct,0,0,No Deposit,0,Transient,A,0,1,1
Online TA,0,0,No Deposit,0,Transient,A,0,1,0
Online TA,0,0,No Deposit,0,Transient-Party,A,1,1,0
Online TA,0,0,No Deposit,0,Transient,D,0,1,1
Groups,0,1,No Deposit,0,Transient-Party,G,1,0,0
Groups,0,1,No Deposit,0,Transient,A,0,0,0
Direct,0,1,No Deposit,0,Transient,H,0,0,0
Direct,0,0,No Deposit,0,Transient,F,0,0,1
Online TA,0,1,No Deposit,0,Transient,E,1,0,0
Online TA,0,3,No Deposit,0,Transient-Party,G,0,0,0
Direct,1,1,No Deposit,0,Transient,E,1,1,0
Online TA,0,1,No Deposit,0,Contract,A,0,2,0
Online TA,0,1,No Deposit,0,Transient,F,0,1,0
Online TA,0,0,No Deposit,0,Transient,A,0,1,1
Online TA,0,0,No Deposit,0,Transient,H,0,1,0
Online TA,0,1,No Deposit,0,Transient,G,0,0,1
Corporate,0,1,No Deposit,0,Transient-Party,E,1,0,0
Direct,0,0,No Deposit,0,Group,A,0,0,0
Online TA,0,0,No Deposit,0,Transient,A,0,1,0
Corporate,0,1,No Deposit,0,Transient,A,0,1,0
Direct,0,0,No Deposit,0,Transient,E,0,2,0
Direct,0,0,No Deposit,0,Transient,A,0,0,0
Online TA,0,0,No Deposit,0,Contract,F,0,2,0
Online TA,0,2,No Deposit,0,Transient,G,0,1,0
Online TA,0,1,No Deposit,0,Transient,A,0,1,0
Groups,0,0,No Deposit,0,Transient-Party,D,0,0,1
Online TA,0,2,No Deposit,0,Transient,F,0,1,0
Direct,0,1,No Deposit,0,Transient,G,0,0,0
Corporate,0,0,No Deposit,0,Transient,D,0,0,0
Online TA,0,1,No Deposit,0,Transient,E,1,1,0
Offline TA/TO,0,1,No Deposit,0,Transient,A,0,1,0
Online TA,0,0,No Deposit,0,Transient,E,0,4,0
Online TA,0,2,No Deposit,0,Transient,G,0,1,0
Direct,0,1,No Deposit,0,Transient,A,0,2,0
Direct,0,0,No Deposit,0,Transient-Party,A,0,2,0
Offline TA/TO,0,2,No Deposit,0,Transient,D,0,0,0
Aviation,0,0,No Deposit,0,Transient-Party,A,0,0,0
Offline TA/TO,0,0,No Deposit,0,Contract,E,1,2,0
Online TA,0,0,No Deposit,0,Transient,D,0,1,1
Online TA,0,0,No Deposit,0,Transient,A,0,1,1
Direct,0,1,No Deposit,0,Transient-Party,A,0,0,0
Online TA,0,1,No Deposit,0,Transient,B,0,2,1
Online TA,0,0,No Deposit,0,Transient,D,0,1,1
Offline TA/TO,0,1,No Deposit,0,Transient,D,0,4,0
Direct,0,0,No Deposit,0,Transient,E,0,0,0
Online TA,0,2,No Deposit,0,Transient,D,0,0,1
Online TA,0,0,No Deposit,0,Transient,G,1,1,0
Groups,0,0,No Deposit,0,Transient-Party,A,0,1,0
Online TA,0,0,No Deposit,0,Transient,D,0,2,0
Online TA,0,0,No Deposit,0,Transient-Party,A,1,1,0
Online TA,0,0,No Deposit,0,Transient,F,0,2,0
Online TA,0,0,No Deposit,0,Transient,B,0,0,0
Online TA,0,0,No Deposit,0,Transient,H,0,0,0
Online TA,0,2,No Deposit,0,Transient-Party,A,0,1,0
Online TA,0,0,No Deposit,0,Transient,A,0,1,1
Corporate,0,3,No Deposit,0,Transient,A,0,1,0
Direct,0,1,No Deposit,0,Transient-Party,E,0,1,0
Groups,0,0,No Deposit,53,Transient-Party,A,0,0,0
Online TA,0,1,No Deposit,0,Transient,D,0,0,1
Online TA,0,2,No Deposit,0,Transient,A,0,0,1
Online TA,0,0,No Deposit,0,Transient,D,0,1,1
Online TA,0,0,Refundable,0,Transient,D,0,0,1
Direct,0,0,Refundable,0,Group,A,0,0,0
Online TA,0,0,No Deposit,0,Transient,E,0,1,1
Direct,0,1,No Deposit,0,Transient,G,0,1,0
Corporate,0,4,No Deposit,0,Transient,A,0,0,0
Online TA,0,0,No Deposit,0,Transient,A,0,0,0
Direct,0,1,No Deposit,0,Transient,G,0,1,1
Offline TA/TO,0,1,No Deposit,0,Transient,D,0,0,0
Offline TA/TO,0,0,No Deposit,0,Transient,D,0,0,1
Direct,0,1,No Deposit,0,Transient,E,0,2,1
Online TA,0,0,No Deposit,0,Transient,F,1,0,0
Online TA,0,0,No Deposit,0,Transient-Party,A,0,0,1
Corporate,0,0,No Deposit,0,Transient-Party,A,0,2,0
Online TA,0,1,No Deposit,0,Transient,E,1,1,0
Online TA,0,1,No Deposit,0,Transient,E,0,0,1
Online TA,0,0,No Deposit,0,Contract,A,0,1,0
Direct,0,0,No Deposit,0,Transient,G,0,0,1
Online TA,0,0,No Deposit,0,Contract,A,0,1,0
Online TA,0,4,No Deposit,0,Transient,A,0,2,0
Online TA,0,1,No Deposit,0,Transient,A,1,1,0
Direct,0,1,No Deposit,0,Transient-Party,A,0,2,0
Online TA,1,0,No Deposit,0,Contract,F,0,2,1
Direct,0,0,No Deposit,0,Transient,E,0,2,0
Online TA,0,0,No Deposit,0,Transient,E,0,0,0
Offline TA/TO,0,0,No Deposit,0,Transient,F,0,0,0
Offline TA/TO,0,0,No Deposit,0,Group,E,0,0,0
Offline TA/TO,0,1,No Deposit,0,Transient,E,0,2,0
Corporate,0,1,No Deposit,0,Transient,D,1,0,0
Offline TA/TO,0,1,No Deposit,58,Transient-Party,A,0,0,0
Corporate,1,0,No Deposit,0,Transient,D,0,1,0
Groups,0,1,No Deposit,4,Transient-Party,A,0,0,0
Direct,0,0,No Deposit,0,Transient,A,0,1,1
Direct,0,1,No Deposit,0,Transient,E,1,0,0
Online TA,0,2,No Deposit,0,Transient,D,0,2,1
Online TA,0,0,No Deposit,0,Transient,E,1,1,0
Complementary,0,2,No Deposit,0,Transient,A,0,0,1
Offline TA/TO,0,1,No Deposit,0,Transient,A,0,0,1
Online TA,0,1,No Deposit,0,Transient,A,0,3,0
Offline TA/TO,0,1,No Deposit,0,Transient-Party,D,0,1,0
Online TA,0,4,No Deposit,0,Transient,D,0,2,0
Complementary,0,0,No Deposit,0,Transient,A,1,0,0
Online TA,0,0,No Deposit,0,Transient,F,0,0,0
Online TA,0,0,No Deposit,0,Transient,G,0,2,1
Online TA,0,1,No Deposit,0,Transient-Party,E,0,0,0
Direct,0,1,No Deposit,0,Transient,A,0,0,0
Online TA,0,0,No Deposit,0,Transient,E,0,1,0
Direct,0,2,No Deposit,0,Transient-Party,B,0,1,1
Aviation,0,1,No Deposit,0,Transient,D,0,0,0
Online TA,0,0,No Deposit,0,Group,D,0,3,0
Online TA,0,2,No Deposit,0,Transient,E,0,0,0
Online TA,0,0,No Deposit,0,Transient-Party,A,0,1,0
Online TA,0,2,No Deposit,0,Transient,A,1,2,0
Online TA,0,0,No Deposit,0,Transient-Party,C,0,2,0
Online TA,0,0,No Deposit,0,Transient,D,1,3,0
Online TA,0,0,No Deposit,0,Transient,F,0,0,1
Offline TA/TO,0,2,No Deposit,63,Transient-Party,A,0,0,0
Online TA,0,0,No Deposit,0,Transient,A,1,3,0
Online TA,0,0,No Deposit,0,Transient,G,0,0,0
Direct,0,0,No Deposit,0,Transient,G,0,0,0
Corporate,0,3,No Deposit,0,Transient-Party,A,0,0,0
Corporate,0,1,No Deposit,0,Transient,A,1,2,0
Online TA,0,0,No Deposit,0,Contract,A,0,2,0
Corporate,1,0,No Deposit,0,Transient,A,0,2,1
Online TA,0,1,No Deposit,0,Transient,A,0,0,0
Online TA,0,0,No Deposit,0,Transient,F,0,1,0
Direct,0,1,No Deposit,0,Group,D,0,0,0
Online TA,0,0,No Deposit,0,Transient-Party,E,0,2,0
Online TA,0,0,No Deposit,0,Transient,E,0,0,0
Corporate,0,0,No Deposit,0,Transient,E,0,0,0
Online TA,0,0,No Deposit,0,Transient-Party,A,0,2,0
Online TA,0,0,No Deposit,0,Transient,A,0,4,1
Groups,0,0,No Deposit,0,Transient-Party,D,0,2,0
Online TA,0,2,No Deposit,0,Transient,D,0,1,0
Online TA,0,1,No Deposit,0,Transient,E,0,0,0
Online TA,0,1,No Deposit,0,Transient,F,0,2,0
Online TA,0,0,No Deposit,0,Transient,A,0,0,0
Online TA,0,0,No Deposit,0,Transient,D,0,1,0
Online TA,0,0,No Deposit,0,Transient,D,0,2,0
Offline TA/TO,0,0,No Deposit,0,Transient-Party,D,0,2,0
Corporate,0,0,No Deposit,0,Transient,E,0,0,0
Online TA,0,0,No Deposit,0,Transient,D,0,0,1
Online TA,0,0,No Deposit,0,Contract,B,0,0,0
Online TA,0,1,No Deposit,0,Transient,D,0,3,1
Online TA,0,0,No Deposit,0,Transient-Party,B,0,1,1
Aviation,0,0,No Deposit,0,Transient,D,0,0,0
Online TA,0,1,No Deposit,0,Contract,D,0,1,0
Corporate,0,3,No Deposit,0,Transient-Party,A,0,2,0
Direct,0,0,No Deposit,0,Transient,A,0,3,1
Online TA,0,0,No Deposit,0,Transient,A,2,2,0
Direct,0,0,No Deposit,0,Transient,C,0,1,0
Direct,0,1,No Deposit,0,Transient-Party,E,0,0,0
Direct,0,2,No Deposit,0,Transient,D,0,0,1
Direct,0,2,No Deposit,0,Transient,E,1,3,0
Offline TA/TO,0,0,No Deposit,0,Transient-Party,E,0,3,0
Offline TA/TO,0,0,No Deposit,0,Transient-Party,D,0,0,0
Groups,0,1,No Deposit,0,Group,A,0,1,0
Online TA,0,0,No Deposit,0,Transient,A,0,2,1
Direct,0,1,No Deposit,0,Transient,E,1,1,0
Offline TA/TO,0,1,No Deposit,0,Transient,D,0,0,0
Online TA,0,0,No Deposit,0,Transient,A,0,0,0
Online TA,0,0,No Deposit,0,Transient,E,0,0,0
Online TA,0,0,No Deposit,0,Transient,H,0,0,1
Online TA,0,2,No Deposit,0,Transient,A,0,2,0
Offline TA/TO,0,0,No Deposit,0,Transient-Party,A,1,0,0
Online TA,1,0,No Deposit,0,Contract,D,0,0,1
Direct,0,1,No Deposit,0,Transient,H,1,0,0
Direct,0,0,No Deposit,0,Group,C,1,0,0
Online TA,0,1,No Deposit,0,Transient,D,0,1,0
Direct,0,1,No Deposit,0,Transient,C,0,1,0
Online TA,0,0,No Deposit,0,Transient,C,0,0,1
Online TA,0,0,No Deposit,0,Contract,D,0,0,0
Offline TA/TO,0,1,No Deposit,0,Transient,A,1,1,0
Online TA,0,2,No Deposit,0,Transient,D,0,0,1
Online TA,0,0,No Deposit,0,Transient,D,1,3,0
Online TA,0,0,No Deposit,0,Transient,F,0,3,0
Direct,0,0,No Deposit,0,Transient-Party,E,0,0,1
Online TA,0,0,No Deposit,0,Transient,E,1,3,0
Online TA,0,1,No Deposit,0,Transient,G,1,1,0
Online TA,0,0,No Deposit,0,Transient,G,1,2,0
Online TA,0,1,No Deposit,0,Transient,A,0,3,1
Online TA,0,2,No Deposit,0,Transient,F,0,1,0
Offline TA/TO,0,0,No Deposit,0,Transient,D,0,0,0
Direct,0,0,No Deposit,0,Group,D,0,0,0
Online TA,0,0,No Deposit,0,Transient,H,0,0,1
Online TA,0,0,No Deposit,0,Transient,D,0,3,1
Groups,0,2,No Deposit,0,Contract,A,0,0,0
Online TA,0,0,No Deposit,0,Transient,E,1,0,0
Online TA,0,1,No Deposit,0,Transient-Party,A,0,1,0
Online TA,0,1,No Deposit,0,Transient-Party,H,1,2,0
Online TA,0,3,No Deposit,0,Transient,B,0,2,0
Online TA,0,0,No Deposit,0,Transient,B,0,2,0
Groups,0,3,No Deposit,0,Transient-Party,A,0,2,0
Direct,0,1,No Deposit,0,Transient,B,0,0,0
Direct,0,0,No Deposit,0,Transient,A,0,0,0
Online TA,0,0,No Deposit,0,Transient,A,0,4,0
Corporate,0,0,No Deposit,12,Transient-Party,A,0,0,0
Online TA,0,0,No Deposit,0,Transient,A,0,0,0
Online TA,0,3,No Deposit,0,Transient-Party,A,0,2,0
Direct,0,0,No Deposit,0,Transient,A,0,1,0
Groups,0,1,No Deposit,0,Transient-Party,A,0,0,0
Online TA,0,0,No Deposit,0,Transient-Party,D,0,1,0
Offline TA/TO,0,1,No Deposit,0,Transient-Party,C,0,0,0
Online TA,0,1,No Deposit,0,Transient-Party,G,0,1,0
Direct,0,0,No Deposit,0,Transient,D,0,0,1
Corporate,1,0,No Deposit,0,Transient,A,0,0,0
Online TA,0,2,No Deposit,0,Transient,A,0,4,0
Online TA,0,1,No Deposit,0,Transient,A,0,2,0
Corporate,2,0,No Deposit,0,Transient-Party,A,0,0,0
Online TA,0,1,No Deposit,0,Transient,G,0,1,0
Online TA,0,0,No Deposit,0,Transient,F,0,1,0
Online TA,0,0,No Deposit,0,Transient-Party,A,0,3,0
Online TA,0,3,No Deposit,0,Transient,B,0,1,0
Direct,0,0,No Deposit,0,Transient,E,1,2,0
Direct,0,1,No Deposit,0,Transient,C,0,0,1
Direct,0,1,No Deposit,0,Transient,E,1,2,0
Online TA,0,0,No Deposit,0,Transient,A,0,1,0
Offline TA/TO,0,1,No Deposit,0,Transient-Party,A,0,0,0
Online TA,0,0,No Deposit,0,Transient,G,1,0,0
Online TA,0,0,No Deposit,0,Transient-Party,E,0,1,0
Online TA,0,0,No Deposit,0,Transient,F,1,2,0
Online TA,0,0,No Deposit,0,Transient-Party,B,0,0,0
Direct,0,1,No Deposit,0,Transient,G,0,4,0
Offline TA/TO,0,1,No Deposit,0,Transient,A,1,0,0
Online TA,0,2,No Deposit,0,Transient,A,0,1,1
Offline TA/TO,0,3,No Deposit,0,Contract,A,0,0,0
Online TA,0,0,No Deposit,0,Contract,A,0,2,0
Online TA,0,3,No Deposit,0,Transient-Party,D,1,0,0
Online TA,0,2,No Deposit,0,Transient,E,0,2,0
Online TA,0,2,No Deposit,0,Transient,D,0,2,1
Direct,0,1,No Deposit,0,Transient-Party,B,0,1,0
Groups,0,1,No Deposit,0,Transient-Party,E,0,0,0
Online TA,0,2,No Deposit,0,Transient,A,0,0,1
Online TA,0,0,No Deposit,0,Transient,A,1,1,0
Online TA,0,2,No Deposit,0,Transient-Party,A,0,1,0
